
==========

Using device:  cuda
Model: dinov2
Learning Rate: 0.0004
LR Scheduler: cosinealr
Epochs: 10
Batch Size: 128

==========Starting Training========

Epoch [1/10] - Batch [123/250] Loss: 0.97, CurLR: 0.0004
Epoch [1/10] - Batch [124/250] Loss: 0.69, CurLR: 0.0004
Epoch [1/10] - Batch [125/250] Loss: 0.98, CurLR: 0.0004
Epoch [1/10] - Batch [126/250] Loss: 1.06, CurLR: 0.0004
Epoch [1/10] - Batch [127/250] Loss: 0.84, CurLR: 0.0004
Epoch [1/10] - Batch [128/250] Loss: 0.75, CurLR: 0.0004
Epoch [1/10] - Batch [129/250] Loss: 0.96, CurLR: 0.0004
Epoch [1/10] - Batch [130/250] Loss: 0.92, CurLR: 0.0004
Epoch [1/10] - Batch [131/250] Loss: 0.83, CurLR: 0.0004
Epoch [1/10] - Batch [132/250] Loss: 0.70, CurLR: 0.0004
Epoch [1/10] - Batch [133/250] Loss: 0.90, CurLR: 0.0004
Epoch [1/10] - Batch [134/250] Loss: 0.94, CurLR: 0.0004
Epoch [1/10] - Batch [135/250] Loss: 0.83, CurLR: 0.0004
Epoch [1/10] - Batch [136/250] Loss: 0.80, CurLR: 0.0004
Epoch [1/10] - Batch [137/250] Loss: 0.86, CurLR: 0.0004
Epoch [1/10] - Batch [138/250] Loss: 0.90, CurLR: 0.0004
Epoch [1/10] - Batch [139/250] Loss: 0.97, CurLR: 0.0004
Epoch [1/10] - Batch [140/250] Loss: 0.86, CurLR: 0.0004
Epoch [1/10] - Batch [141/250] Loss: 0.77, CurLR: 0.0004
Epoch [1/10] - Batch [142/250] Loss: 0.73, CurLR: 0.0004
Epoch [1/10] - Batch [143/250] Loss: 0.81, CurLR: 0.0004
Epoch [1/10] - Batch [144/250] Loss: 1.04, CurLR: 0.0004
Epoch [1/10] - Batch [145/250] Loss: 0.86, CurLR: 0.0004
Epoch [1/10] - Batch [146/250] Loss: 0.81, CurLR: 0.0004
Epoch [1/10] - Batch [147/250] Loss: 0.96, CurLR: 0.0004
Epoch [1/10] - Batch [148/250] Loss: 0.97, CurLR: 0.0004
Epoch [1/10] - Batch [149/250] Loss: 0.91, CurLR: 0.0004
Epoch [1/10] - Batch [150/250] Loss: 0.68, CurLR: 0.0004
Epoch [1/10] - Batch [151/250] Loss: 0.91, CurLR: 0.0004
Epoch [1/10] - Batch [152/250] Loss: 0.88, CurLR: 0.0004
Epoch [1/10] - Batch [153/250] Loss: 0.98, CurLR: 0.0004
Epoch [1/10] - Batch [154/250] Loss: 0.89, CurLR: 0.0004
Epoch [1/10] - Batch [155/250] Loss: 0.85, CurLR: 0.0004
Epoch [1/10] - Batch [156/250] Loss: 0.92, CurLR: 0.0004
Epoch [1/10] - Batch [157/250] Loss: 0.86, CurLR: 0.0004
Epoch [1/10] - Batch [158/250] Loss: 0.82, CurLR: 0.0004
