
==========

Using device:  cuda
Model: vit_base
Learning Rate: 0.0003
LR Scheduler: None
Epochs: 5
Batch Size: 4

==========Starting Training========

Epoch [1/5] - Batch [126/8000] Loss: 4.37, CurLR: 0.0003
Epoch [1/5] - Batch [127/8000] Loss: 4.26, CurLR: 0.0003
Epoch [1/5] - Batch [128/8000] Loss: 4.27, CurLR: 0.0003
Epoch [1/5] - Batch [129/8000] Loss: 3.36, CurLR: 0.0003
Epoch [1/5] - Batch [130/8000] Loss: 3.83, CurLR: 0.0003
Epoch [1/5] - Batch [131/8000] Loss: 4.03, CurLR: 0.0003
Epoch [1/5] - Batch [132/8000] Loss: 3.69, CurLR: 0.0003
Epoch [1/5] - Batch [133/8000] Loss: 3.82, CurLR: 0.0003
Epoch [1/5] - Batch [134/8000] Loss: 4.04, CurLR: 0.0003
Epoch [1/5] - Batch [135/8000] Loss: 3.73, CurLR: 0.0003
Epoch [1/5] - Batch [136/8000] Loss: 3.83, CurLR: 0.0003
Epoch [1/5] - Batch [137/8000] Loss: 3.77, CurLR: 0.0003
Epoch [1/5] - Batch [138/8000] Loss: 3.23, CurLR: 0.0003
Epoch [1/5] - Batch [139/8000] Loss: 3.83, CurLR: 0.0003
Epoch [1/5] - Batch [140/8000] Loss: 4.11, CurLR: 0.0003
Epoch [1/5] - Batch [141/8000] Loss: 3.79, CurLR: 0.0003
Epoch [1/5] - Batch [142/8000] Loss: 3.65, CurLR: 0.0003
Epoch [1/5] - Batch [143/8000] Loss: 3.78, CurLR: 0.0003
Epoch [1/5] - Batch [144/8000] Loss: 4.00, CurLR: 0.0003
Epoch [1/5] - Batch [145/8000] Loss: 3.38, CurLR: 0.0003
Epoch [1/5] - Batch [146/8000] Loss: 3.30, CurLR: 0.0003
Epoch [1/5] - Batch [147/8000] Loss: 3.79, CurLR: 0.0003
Epoch [1/5] - Batch [148/8000] Loss: 3.65, CurLR: 0.0003
Epoch [1/5] - Batch [149/8000] Loss: 3.58, CurLR: 0.0003
Epoch [1/5] - Batch [150/8000] Loss: 3.40, CurLR: 0.0003
Epoch [1/5] - Batch [151/8000] Loss: 4.02, CurLR: 0.0003
Epoch [1/5] - Batch [152/8000] Loss: 3.98, CurLR: 0.0003
Epoch [1/5] - Batch [153/8000] Loss: 3.91, CurLR: 0.0003
Epoch [1/5] - Batch [154/8000] Loss: 4.09, CurLR: 0.0003
Epoch [1/5] - Batch [155/8000] Loss: 3.52, CurLR: 0.0003
Epoch [1/5] - Batch [156/8000] Loss: 3.84, CurLR: 0.0003
Epoch [1/5] - Batch [157/8000] Loss: 4.11, CurLR: 0.0003
Epoch [1/5] - Batch [158/8000] Loss: 3.61, CurLR: 0.0003
Epoch [1/5] - Batch [159/8000] Loss: 3.73, CurLR: 0.0003
Epoch [1/5] - Batch [160/8000] Loss: 3.88, CurLR: 0.0003
Epoch [1/5] - Batch [161/8000] Loss: 3.94, CurLR: 0.0003
Epoch [1/5] - Batch [162/8000] Loss: 3.78, CurLR: 0.0003
Epoch [1/5] - Batch [163/8000] Loss: 3.50, CurLR: 0.0003
Epoch [1/5] - Batch [164/8000] Loss: 3.81, CurLR: 0.0003
Epoch [1/5] - Batch [165/8000] Loss: 4.18, CurLR: 0.0003
Epoch [1/5] - Batch [166/8000] Loss: 3.56, CurLR: 0.0003
Epoch [1/5] - Batch [167/8000] Loss: 3.61, CurLR: 0.0003
Epoch [1/5] - Batch [168/8000] Loss: 3.78, CurLR: 0.0003
Epoch [1/5] - Batch [169/8000] Loss: 3.67, CurLR: 0.0003
Epoch [1/5] - Batch [170/8000] Loss: 3.54, CurLR: 0.0003
Epoch [1/5] - Batch [171/8000] Loss: 3.76, CurLR: 0.0003
Epoch [1/5] - Batch [172/8000] Loss: 4.14, CurLR: 0.0003
Epoch [1/5] - Batch [173/8000] Loss: 4.04, CurLR: 0.0003
Epoch [1/5] - Batch [174/8000] Loss: 3.79, CurLR: 0.0003
Epoch [1/5] - Batch [175/8000] Loss: 3.86, CurLR: 0.0003
Epoch [1/5] - Batch [176/8000] Loss: 3.61, CurLR: 0.0003
Epoch [1/5] - Batch [177/8000] Loss: 3.88, CurLR: 0.0003
Epoch [1/5] - Batch [178/8000] Loss: 3.69, CurLR: 0.0003
Epoch [1/5] - Batch [179/8000] Loss: 3.84, CurLR: 0.0003
Epoch [1/5] - Batch [180/8000] Loss: 3.74, CurLR: 0.0003
Epoch [1/5] - Batch [181/8000] Loss: 3.80, CurLR: 0.0003
Epoch [1/5] - Batch [182/8000] Loss: 3.70, CurLR: 0.0003
Epoch [1/5] - Batch [183/8000] Loss: 3.73, CurLR: 0.0003
Epoch [1/5] - Batch [184/8000] Loss: 3.89, CurLR: 0.0003
Epoch [1/5] - Batch [185/8000] Loss: 3.96, CurLR: 0.0003
Epoch [1/5] - Batch [186/8000] Loss: 3.72, CurLR: 0.0003
Epoch [1/5] - Batch [187/8000] Loss: 4.08, CurLR: 0.0003
Epoch [1/5] - Batch [188/8000] Loss: 3.59, CurLR: 0.0003
Epoch [1/5] - Batch [189/8000] Loss: 3.90, CurLR: 0.0003
